Index,Date,Original_title_question,New_title_question,New_user_question,Questions_prompt,User,Document
1,2024-04-28 21:16:24,Que es el IRPF?,¿Qué es el Impuesto sobre la Renta de las Personas Físicas (IRPF)?,Me gustaría entender en detalle qué implica el Impuesto sobre la Renta de las Personas Físicas (IRPF) y cómo afecta a mis ingresos y obligaciones fiscales. ¿Podrías explicarme de manera clara y concisa en qué consiste este impuesto?,,,
2,2024-04-28 21:21:23,Que es el IRPF?,¿Qué es el Impuesto sobre la Renta de las Personas Físicas (IRPF)?,"Me gustaría saber más sobre el Impuesto sobre la Renta de las Personas Físicas (IRPF), ¿podrías explicarme en qué consiste y cómo afecta a los contribuyentes en España?",,,
3,2024-04-28 21:22:15,Que puedes crear?,¿Qué tipo de proyectos se pueden desarrollar con inteligencia artificial?,Estoy interesado en incursionar en el campo de la inteligencia artificial y me gustaría saber qué tipo de proyectos se pueden desarrollar utilizando esta tecnología. ¿Podrías proporcionarme algunos ejemplos de aplicaciones prácticas de la inteligencia artificial en la actualidad?,,,
4,2024-04-28 21:28:26,Que puedes crear?,¿Qué tipo de proyectos se pueden desarrollar con inteligencia artificial?,"Estoy interesado en incursionar en el campo de la inteligencia artificial, ¿qué tipo de proyectos se pueden desarrollar utilizando esta tecnología?",,,
5,2024-04-28 21:29:44,que puedes contarme,¿Qué información relevante puedes proporcionarme?,¿Qué datos específicos o detalles relevantes puedes ofrecerme sobre el tema en cuestión?,,,
6,2024-04-28 21:34:02,que puedes contarme,¿Qué información relevante puedes proporcionarme?,"Estoy interesado en conocer más detalles sobre el tema, ¿qué información relevante puedes proporcionarme al respecto?",,,
7,2024-04-28 21:34:10,que puedes contarme,¿Qué información relevante puedes proporcionarme sobre el uso de la inteligencia artificial en la medicina?,Me interesa conocer más sobre la aplicación de la inteligencia artificial en el campo de la medicina. ¿Qué información relevante puedes proporcionarme al respecto?,,,
8,2024-04-28 21:53:06,Como estas,¿Cuál es la forma correcta de saludar en español?,"Me gustaría saber cuál es la forma adecuada de saludar en español, ¿podrías explicarme?",,,
9,2024-05-23 18:03:17,"En las condiciones económicas, los honorarios y categorías cómo podrán ser alterados y quien tiene que estar de acuerdo?",Modificación de honorarios y categorías en condiciones económicas,¿Quién debe estar de acuerdo para alterar los honorarios y categorías en las condiciones económicas de un contrato?,,,
10,2024-05-31 13:00:11,"En las condiciones económicas, los honorarios y categorías cómo podrán ser alterados y quien tiene que estar de acuerdo?",Procedimiento para modificar honorarios y categorías en condiciones económicas,"¿Cuál es el procedimiento establecido para realizar modificaciones en los honorarios y categorías dentro de un contexto de condiciones económicas, y quiénes deben dar su aprobación para llevar a cabo dichas alteraciones?",,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
11,2024-06-01 13:05:02,"En las condiciones económicas, los honorarios y categorías cómo podrán ser alterados y quien tiene que estar de acuerdo?",Procedimiento para modificar honorarios y categorías en condiciones económicas,"¿Cuál es el procedimiento establecido para alterar los honorarios y categorías en un contexto de condiciones económicas, y quién debe dar su aprobación para llevar a cabo dicha modificación?",,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
12,2024-06-02 22:54:43,En cuántos meses se comenzará a aplicar el sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,¿Cuándo entrará en vigor el sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,¿Para cuándo está previsto que se implemente el sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
13,2024-06-03 11:04:49,"En las condiciones económicas, los honorarios y categorías cómo podrán ser alterados y quien tiene que estar de acuerdo?",Procedimiento para modificar honorarios y categorías en condiciones económicas,"¿Cuál es el procedimiento necesario para alterar los honorarios y categorías en un contexto de condiciones económicas, y quién debe dar su aprobación para llevar a cabo dichas modificaciones?",,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
14,2024-06-03 12:09:28,"Los cambios en la ejecución de los servicios, quién deberá autorizarlos y cuando serán efectivos?",Procedimiento de autorización de cambios en la ejecución de servicios,¿Cuál es el procedimiento establecido para autorizar los cambios en la ejecución de servicios y cuándo se consideran efectivos dichos cambios?,,Ignacio Fanlo,MODELO_CONTRATO_SERVICOS_MANTENIMIENTO_TECNOLÓGICO
15,2024-06-03 12:21:43,"Los cambios en la ejecución de los servicios, quién deberá autorizarlos y cuando serán efectivos?",Procedimiento de autorización de cambios en la ejecución de servicios,¿Cuál es el procedimiento establecido para autorizar los cambios en la ejecución de servicios y cuándo se consideran efectivos dichos cambios?,,Ignacio Fanlo,MODELO_CONTRATO_SERVICOS_MANTENIMIENTO_TECNOLÓGICO
16,2024-06-03 12:54:59,Los avisos o notificaciones en término del contrato como deberán constar? Y cuando se considerarán efectivamente recibidos?,¿Cómo deben constar los avisos o notificaciones en un contrato y cuándo se consideran recibidos?,"Me gustaría saber cuál es la forma correcta en la que deben estar redactados los avisos o notificaciones en un contrato, así como cuándo se consideran oficialmente recibidos por las partes involucradas.",,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
17,2024-06-03 14:10:55,En cuántos meses se comenzará a aplicar el sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,Implementación del sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS,¿En cuántos meses está previsto que se inicie la aplicación del sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
18,2024-06-03 18:52:07,En cuántos meses se comenzará a aplicar el sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,Implementación del sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS,¿En cuántos meses está previsto que se inicie la aplicación del sistema de penalización/bonificación por incumplimiento/cumplimiento de la ANS?,,Ignacio Fanlo,MODELO_CONTRATO_MARCO_PRESTACION_SS_CONSULTORÍA
